,bike_id,duration,end_date,end_station_id,end_station_name,rental_id,start_date,start_station_id,start_station_name,start_date_date,start_date_time
0,11834.0,240.0,2016-01-10 00:04:00,383.0,"Frith Street, Soho",50754225,2016-01-10 00:00:00,18,"Drury Lane, Covent Garden",2016-01-10,00:00:00
1,9648.0,300.0,2016-01-10 00:05:00,719.0,"Victoria Park Road, Hackney Central",50754226,2016-01-10 00:00:00,479,"Pott Street, Bethnal Green",2016-01-10,00:00:00
2,10689.0,1200.0,2016-01-10 00:20:00,272.0,"Baylis Road, Waterloo",50754227,2016-01-10 00:00:00,425,"Harrington Square 2, Camden Town",2016-01-10,00:00:00
3,8593.0,780.0,2016-01-10 00:14:00,471.0,"Hewison Street, Old Ford",50754228,2016-01-10 00:01:00,487,"Canton Street, Poplar",2016-01-10,00:01:00
4,8619.0,600.0,2016-01-10 00:11:00,399.0,"Brick Lane Market, Shoreditch",50754229,2016-01-10 00:01:00,501,"Cephas Street, Bethnal Green",2016-01-10,00:01:00
5,309.0,420.0,2016-01-10 00:09:00,671.0,"Parsons Green Station, Parsons Green",50754230,2016-01-10 00:02:00,769,"Sandilands Road, Walham Green",2016-01-10,00:02:00
6,11914.0,960.0,2016-01-10 00:18:00,450.0,"Jubilee Street, Stepney",50754231,2016-01-10 00:02:00,516,"Chrisp Street Market, Poplar",2016-01-10,00:02:00
7,3314.0,480.0,2016-01-10 00:11:00,780.0,Imperial Wharf Station,50754232,2016-01-10 00:03:00,755,"The Vale, West Chelsea",2016-01-10,00:03:00
8,2825.0,240.0,2016-01-10 00:08:00,638.0,"Falcon Road, Clapham Junction",50754233,2016-01-10 00:04:00,701,"Vicarage Crescent, Battersea",2016-01-10,00:04:00
9,3102.0,1320.0,2016-01-10 00:27:00,647.0,"Richmond Way, Shepherd's Bush",50754234,2016-01-10 00:05:00,633,"Vereker Road North, West Kensington",2016-01-10,00:05:00
10,4261.0,480.0,2016-01-10 00:13:00,86.0,"Sancroft Street, Vauxhall",50754235,2016-01-10 00:05:00,420,"Southwark Station 1, Southwark",2016-01-10,00:05:00
11,8051.0,1020.0,2016-01-10 00:22:00,600.0,"South Lambeth Road, Vauxhall",50754236,2016-01-10 00:05:00,386,"Moor Street, Soho",2016-01-10,00:05:00
12,4184.0,780.0,2016-01-10 00:19:00,552.0,"Watney Street, Shadwell",50754237,2016-01-10 00:06:00,534,"Goldsmith's Row, Haggerston",2016-01-10,00:06:00
13,2855.0,720.0,2016-01-10 00:18:00,518.0,"Antill Road, Mile End",50754238,2016-01-10 00:06:00,717,"Dunston Road , Haggerston",2016-01-10,00:06:00
14,12698.0,420.0,2016-01-10 00:14:00,522.0,"Clinton Road, Mile End",50754239,2016-01-10 00:07:00,521,"Driffield Road, Old Ford",2016-01-10,00:07:00
15,12003.0,180.0,2016-01-10 00:11:00,78.0,"Sadlers Sports Centre, Finsbury",50754241,2016-01-10 00:08:00,264,"Tysoe Street, Clerkenwell",2016-01-10,00:08:00
16,11173.0,1140.0,2016-01-10 00:27:00,409.0,"Strata, Elephant & Castle",50754242,2016-01-10 00:08:00,486,"Granby Street, Shoreditch",2016-01-10,00:08:00
17,779.0,480.0,2016-01-10 00:16:00,22.0,"Northington Street , Holborn",50754243,2016-01-10 00:08:00,331,"Bunhill Row, Moorgate",2016-01-10,00:08:00
18,2406.0,420.0,2016-01-10 00:15:00,396.0,"Shouldham Street, Marylebone",50754244,2016-01-10 00:08:00,397,"Devonshire Terrace, Bayswater",2016-01-10,00:08:00
19,436.0,540.0,2016-01-10 00:17:00,242.0,"Beaumont Street, Marylebone",50754245,2016-01-10 00:08:00,7,"Charlbert Street, St. John's Wood",2016-01-10,00:08:00
